Site,County,Location,Site type,Element,Age,Sex,Lab code,14C BP,±,  95% cal BC,cal BC,median,d13C,d15N,C:N,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,M,UBA-39195,4667,54,3632,3354,3458,-21.5,10.2,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,I,UBA-38307,4762,37,3641,3381,3567,-21.5,9.8,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",N/A,I,UBA-38303,4739,35,3637,3377,3551,-21.4,9.7,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,I,UBA-39194,4707,42,3633,3372,3486,-21.3,10.1,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,I,UBA-35072,4638,36,3518,3356,3456,-21.3,9.2,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adult,I,UBA-39193,4636,45,3626,3196,3451,-21.1,10.1,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R",adolescent,I,UBA-35064,4394,35,3264,2910,3006,-21.5,10.2,3.4,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R?",adult,I,UBA-38314,3888,48,2477,2206,2371,-20.8,9.9,3.2,,,,,
Parknabinnia,Clare,inland,court tomb,"petrous, R?",adult,I,UBA-38314,3888,48,2477,2206,2371,-20.8,9.9,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,old adult,F,OxA-25942,4799,30,3649,3522,3566,-21.3,8.9,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,F,OxA-25941,4775,31,3642,3386,3569,-21.0,9.0,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,F,OxA-25946,4543,40,3370,3098,3213,-20.8,8.8,3.2,,,,,
Poulnabrone,Clare,coastal,portal tomb,mandible,adult,M,OxA-25944,4794,30,3646,3522,3566,-21.1,9.7,3.2,,,,,
